id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
368,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,1,ORANG,2020
369,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1,ORANG,2020
370,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,0,ORANG,2020
371,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1,ORANG,2020
372,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,2,ORANG,2020
373,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,1,ORANG,2020
374,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,3,ORANG,2020
375,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,8,ORANG,2020
376,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,12,ORANG,2020
377,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,2,ORANG,2020
378,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,1,ORANG,2020
379,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,10,ORANG,2021
380,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,12,ORANG,2021
381,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,ORANG,2021
382,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1,ORANG,2021
383,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2,ORANG,2021
384,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2,ORANG,2021
385,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,12,ORANG,2021
386,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,12,ORANG,2021
387,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,8,ORANG,2021
388,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,5,ORANG,2021
389,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,ORANG,2021
390,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,ORANG,2021
